,num-cells,cluster-size,max-divisions,num-matrix-diff,cycles-diff-matrix,num-diff-ind,cycles-diff-ind,undiff-num-inhibition,Num Cysts,Num Differentiated,Num Pluripotent,Num Differentiated Cysts,Num Pluripotent Cysts,Num Asymmetric Cysts
491,15.7,2.0,1.2,1.2,7.8,1.9,7.0,5.8,5,128.0,0.0,0,5,0
492,15.7,2.5,1.2,1.2,7.8,1.9,7.0,5.8,5,128.0,20.0,0,5,0
493,15.7,1.0,1.2,1.2,7.8,3.5,7.8,5.8,3,55.0,0.0,0,3,0
494,15.7,1.5,1.2,1.2,7.8,3.5,7.8,5.8,3,60.0,15.0,0,3,0
495,15.7,2.0,1.2,1.2,7.8,3.5,7.8,5.8,3,89.0,39.0,0,3,0
496,15.7,2.5,1.2,1.2,7.8,3.5,7.8,5.8,3,94.0,54.0,0,3,0
497,15.7,1.0,1.2,1.2,7.8,3.5,7.0,2.1,1,55.0,0.0,0,1,0
498,15.7,1.5,1.2,1.2,7.8,3.5,7.0,2.1,1,60.0,15.0,0,1,0
499,15.7,2.0,1.2,1.2,7.8,3.5,7.0,2.1,1,89.0,39.0,0,1,0
500,15.7,2.5,1.2,1.2,7.8,3.5,7.0,2.1,1,94.0,54.0,0,1,0
501,15.7,1.0,1.0,2.7,9.0,1.9,7.8,2.1,25,27.0,0.0,0,25,0
502,15.7,1.5,1.0,2.7,9.0,1.9,7.8,2.1,25,23.0,19.0,0,25,0
503,82.5,1.0,1.2,2.7,9.0,1.9,7.8,2.1,10,258.0,66.0,0,10,0
504,82.5,1.5,1.2,2.7,9.0,1.9,7.8,2.1,10,83.0,215.0,0,10,0
505,82.5,1.0,1.0,1.2,9.0,1.9,7.8,2.1,2,161.0,0.0,0,2,0
506,82.5,1.5,1.0,1.2,9.0,1.9,7.8,2.1,2,165.0,0.0,0,2,0
507,82.5,2.0,1.0,1.2,9.0,1.9,7.8,2.1,2,194.0,12.0,0,2,0
508,82.5,2.5,1.0,1.2,9.0,1.9,7.8,2.1,2,143.0,16.0,0,2,0
509,82.5,1.0,1.0,2.7,7.8,1.9,7.8,2.1,1,151.0,10.0,0,1,0
510,82.5,1.5,1.0,2.7,7.8,1.9,7.8,2.1,1,122.0,43.0,0,1,0
511,82.5,2.0,1.0,2.7,7.8,1.9,7.8,2.1,1,52.0,154.0,0,1,0
512,82.5,2.5,1.0,2.7,7.8,1.9,7.8,2.1,1,35.0,124.0,0,1,0
513,82.5,1.0,1.0,2.7,9.0,3.5,7.8,2.1,25,150.0,11.0,0,25,0
514,82.5,1.5,1.0,2.7,9.0,3.5,7.8,2.1,25,70.0,95.0,0,25,0
515,82.5,2.0,1.0,2.7,9.0,3.5,7.8,2.1,25,45.0,161.0,0,25,0
516,82.5,2.5,1.0,2.7,9.0,3.5,7.8,2.1,25,31.0,128.0,0,25,0
517,82.5,1.0,1.0,2.7,9.0,1.9,7.0,2.1,10,151.0,10.0,0,10,0
518,82.5,1.5,1.0,2.7,9.0,1.9,7.0,2.1,10,122.0,43.0,0,10,0
519,82.5,2.0,1.0,2.7,9.0,1.9,7.0,2.1,10,52.0,154.0,0,10,0
520,82.5,2.5,1.0,2.7,9.0,1.9,7.0,2.1,10,33.0,126.0,0,10,0
521,82.5,1.0,1.0,2.7,9.0,1.9,7.8,5.8,2,151.0,10.0,0,2,0
522,82.5,1.5,1.0,2.7,9.0,1.9,7.8,5.8,2,127.0,38.0,0,2,0
523,82.5,2.0,1.0,2.7,9.0,1.9,7.8,5.8,2,66.0,140.0,0,2,0
524,82.5,2.5,1.0,2.7,9.0,1.9,7.8,5.8,2,46.0,113.0,0,2,0
525,82.5,1.0,1.0,2.7,9.0,1.9,7.8,2.1,1,151.0,10.0,0,1,0
526,82.5,1.5,1.0,2.7,9.0,1.9,7.8,2.1,1,122.0,43.0,0,1,0
527,82.5,2.0,1.0,2.7,9.0,1.9,7.8,2.1,1,52.0,154.0,0,1,0
528,82.5,2.5,1.0,2.7,9.0,1.9,7.8,2.1,1,33.0,126.0,0,1,0
529,60.7,1.0,1.7,3.2,9.8,1.5,9.0,3.3,25,12.0,214.0,0,25,0
530,60.7,1.5,1.7,3.2,9.8,1.5,9.0,3.3,25,2.0,224.0,0,25,0
531,60.7,2.0,1.7,3.2,9.8,1.5,9.0,3.3,25,1.0,213.0,0,25,0
532,60.7,2.5,1.7,3.2,9.8,1.5,9.0,3.3,25,0.0,241.0,0,25,0
533,37.5,1.0,1.7,3.2,9.8,1.5,9.0,3.3,10,4.0,140.0,0,10,0
534,37.5,1.5,1.7,3.2,9.8,1.5,9.0,3.3,10,1.0,140.0,0,10,0
535,37.5,2.0,1.7,3.2,9.8,1.5,9.0,3.3,10,1.0,127.0,0,10,0
536,37.5,2.5,1.7,3.2,9.8,1.5,9.0,3.3,10,2.0,146.0,0,10,0
537,60.7,1.0,1.5,3.2,9.8,1.5,9.0,3.3,2,12.0,214.0,0,2,0
538,60.7,1.5,1.5,3.2,9.8,1.5,9.0,3.3,2,2.0,224.0,0,2,0
539,60.7,2.0,1.5,3.2,9.8,1.5,9.0,3.3,2,1.0,213.0,0,2,0
540,60.7,2.5,1.5,3.2,9.8,1.5,9.0,3.3,2,0.0,241.0,0,2,0
541,60.7,1.0,1.7,4.7,9.8,1.5,9.0,3.3,1,0.0,226.0,0,1,0
542,60.7,1.5,1.7,4.7,9.8,1.5,9.0,3.3,1,0.0,226.0,0,1,0
543,60.7,2.0,1.7,4.7,9.8,1.5,9.0,3.3,1,0.0,214.0,0,1,0
544,60.7,2.5,1.7,4.7,9.8,1.5,9.0,3.3,1,0.0,241.0,0,1,0
545,60.7,1.0,1.7,3.2,7.0,1.5,9.0,3.3,25,12.0,214.0,0,25,0
546,60.7,1.5,1.7,3.2,7.0,1.5,9.0,3.3,25,2.0,224.0,0,25,0
547,60.7,2.0,1.7,3.2,7.0,1.5,9.0,3.3,25,1.0,213.0,0,25,0
548,60.7,2.5,1.7,3.2,7.0,1.5,9.0,3.3,25,0.0,241.0,0,25,0
549,60.7,1.0,1.7,3.2,9.8,3.9,9.0,3.3,10,12.0,214.0,0,10,0
550,60.7,1.5,1.7,3.2,9.8,3.9,9.0,3.3,10,2.0,224.0,0,10,0
551,60.7,2.0,1.7,3.2,9.8,3.9,9.0,3.3,10,1.0,213.0,0,10,0
552,60.7,2.5,1.7,3.2,9.8,3.9,9.0,3.3,10,0.0,241.0,0,10,0
553,60.7,1.0,1.7,3.2,9.8,1.5,9.8,3.3,2,12.0,214.0,0,2,0
554,60.7,1.5,1.7,3.2,9.8,1.5,9.8,3.3,2,2.0,224.0,0,2,0
555,60.7,2.0,1.7,3.2,9.8,1.5,9.8,3.3,2,1.0,213.0,0,2,0
556,60.7,2.5,1.7,3.2,9.8,1.5,9.8,3.3,2,0.0,241.0,0,2,0
557,60.7,1.0,1.7,3.2,9.8,1.5,9.0,4.6,1,12.0,214.0,0,1,0
558,60.7,1.5,1.7,3.2,9.8,1.5,9.0,4.6,1,2.0,224.0,0,1,0
559,60.7,2.0,1.7,3.2,9.8,1.5,9.0,4.6,1,1.0,213.0,0,1,0
560,60.7,2.5,1.7,3.2,9.8,1.5,9.0,4.6,1,0.0,241.0,0,1,0
561,60.7,1.0,1.5,4.7,7.0,3.9,9.8,4.6,25,0.0,226.0,0,25,0
562,60.7,1.5,1.5,4.7,7.0,3.9,9.8,4.6,25,0.0,226.0,0,25,0
563,60.7,2.0,1.5,4.7,7.0,3.9,9.8,4.6,25,0.0,214.0,0,25,0
564,60.7,2.5,1.5,4.7,7.0,3.9,9.8,4.6,25,0.0,241.0,0,25,0
565,37.5,1.0,1.7,4.7,7.0,3.9,9.8,4.6,10,0.0,144.0,0,10,0
566,37.5,1.5,1.7,4.7,7.0,3.9,9.8,4.6,10,0.0,141.0,0,10,0
567,37.5,2.0,1.7,4.7,7.0,3.9,9.8,4.6,10,0.0,128.0,0,10,0
568,37.5,2.5,1.7,4.7,7.0,3.9,9.8,4.6,10,0.0,148.0,0,10,0
569,37.5,1.0,1.5,3.2,7.0,3.9,9.8,4.6,2,4.0,140.0,0,2,0
570,37.5,1.5,1.5,3.2,7.0,3.9,9.8,4.6,2,1.0,140.0,0,2,0
571,37.5,2.0,1.5,3.2,7.0,3.9,9.8,4.6,2,1.0,127.0,0,2,0
572,37.5,2.5,1.5,3.2,7.0,3.9,9.8,4.6,2,2.0,146.0,0,2,0
573,37.5,1.0,1.5,4.7,9.8,3.9,9.8,4.6,1,0.0,144.0,0,1,0
574,37.5,1.5,1.5,4.7,9.8,3.9,9.8,4.6,1,0.0,141.0,0,1,0
575,37.5,2.0,1.5,4.7,9.8,3.9,9.8,4.6,1,0.0,128.0,0,1,0
576,37.5,2.5,1.5,4.7,9.8,3.9,9.8,4.6,1,0.0,148.0,0,1,0
577,37.5,1.0,1.5,4.7,7.0,1.5,9.8,4.6,25,0.0,144.0,0,25,0
578,37.5,1.5,1.5,4.7,7.0,1.5,9.8,4.6,25,0.0,141.0,0,25,0
579,37.5,2.0,1.5,4.7,7.0,1.5,9.8,4.6,25,0.0,128.0,0,25,0
