,0,1,2,3,4,5,6,7
79,34473.0,52.0,1.0,3.0,4.0,5.0,6.0,1.0
80,34473.0,52.0,1.0,3.0,4.0,5.0,9.0,5.0
81,34473.0,72.0,3.0,2.0,6.0,5.0,6.0,5.0
82,37598.0,52.0,3.0,2.0,6.0,5.0,6.0,5.0
83,37598.0,72.0,1.0,2.0,6.0,5.0,6.0,5.0
84,37598.0,72.0,3.0,3.0,6.0,5.0,6.0,5.0
85,37598.0,72.0,3.0,2.0,4.0,5.0,6.0,5.0
86,37598.0,72.0,3.0,2.0,6.0,5.0,6.0,5.0
87,37598.0,72.0,3.0,2.0,6.0,5.0,9.0,5.0
88,37598.0,72.0,3.0,2.0,6.0,5.0,6.0,1.0
89,37598.0,72.0,3.0,2.0,6.0,5.0,6.0,5.0
