,num-cells,cluster-size,max-divisions,num-matrix-diff,cycles-diff-matrix,num-diff-ind,cycles-diff-ind,undiff-num-inhibition,Num Cysts,Num Differentiated,Num Pluripotent,Num Differentiated Cysts,Num Pluripotent Cysts,Num Asymmetric Cysts
53,52.3,1.5,1.8,2.3,2.7,1.1,3.6,5.0,1,175.0,26.0,0,0,0
54,52.3,2.0,1.8,2.3,2.7,1.1,3.6,5.0,1,193.0,21.0,0,0,0
55,52.3,2.5,1.8,2.3,2.7,1.1,3.6,5.0,1,135.0,13.0,0,0,0
56,52.3,1.0,1.8,2.1,2.3,1.1,3.6,5.0,27,211.0,8.0,27,0,0
57,52.3,1.5,1.8,2.1,2.3,1.1,3.6,5.0,27,175.0,26.0,27,0,0
58,52.3,2.0,1.8,2.1,2.3,1.1,3.6,5.0,27,193.0,21.0,27,0,0
59,52.3,2.5,1.8,2.1,2.3,1.1,3.6,5.0,27,135.0,13.0,27,0,0
60,52.3,1.0,1.8,2.1,2.7,1.0,3.6,5.0,13,219.0,0.0,12,0,0
61,52.3,1.5,1.8,2.1,2.7,1.0,3.6,5.0,13,201.0,0.0,12,0,0
62,52.3,2.0,1.8,2.1,2.7,1.0,3.6,5.0,13,214.0,0.0,12,0,0
63,52.3,1.0,1.8,2.1,2.7,1.1,4.6,5.0,2,211.0,8.0,2,0,0
64,52.3,2.5,1.8,2.1,2.7,1.1,4.6,5.0,2,135.0,13.0,2,0,0
65,52.3,1.0,1.8,2.1,2.7,1.1,3.6,4.2,1,211.0,8.0,1,0,0
66,52.3,1.5,1.8,2.1,2.7,1.1,3.6,4.2,1,175.0,26.0,1,0,0
67,52.3,2.0,1.8,2.1,2.7,1.1,3.6,4.2,1,193.0,21.0,1,0,0
68,52.3,2.5,1.8,2.1,2.7,1.1,3.6,4.2,1,135.0,13.0,1,0,0
69,52.3,1.0,1.8,2.3,2.3,1.0,4.6,4.2,27,219.0,0.0,27,0,0
70,52.3,1.5,1.8,2.3,2.3,1.0,4.6,4.2,27,201.0,0.0,27,0,0
71,52.3,2.0,1.8,2.3,2.3,1.0,4.6,4.2,27,214.0,0.0,27,0,0
72,68.4,1.0,1.8,2.3,2.3,1.1,4.6,4.2,27,252.0,6.0,27,0,0
73,68.4,2.5,1.8,2.3,2.3,1.1,4.6,4.2,27,156.0,85.0,27,0,0
74,68.4,1.0,1.8,2.3,2.3,1.0,3.6,4.2,13,258.0,0.0,12,0,0
75,68.4,1.5,1.8,2.3,2.3,1.0,3.6,4.2,13,240.0,0.0,12,0,0
76,68.4,1.0,1.8,2.3,2.3,1.0,4.6,5.0,2,258.0,0.0,2,0,0
77,68.4,1.0,1.8,2.3,2.3,1.0,4.6,4.2,1,258.0,0.0,1,0,0
78,41.0,1.0,1.5,1.6,2.2,1.6,4.1,3.1,25,144.0,0.0,25,0,0
79,41.0,2.5,1.5,3.8,2.2,1.6,4.1,3.1,1,2.0,146.0,0,0,0
80,41.0,1.0,1.5,1.6,4.8,1.6,4.1,3.1,15,144.0,0.0,14,0,0
81,41.0,1.0,1.4,3.8,4.8,1.5,2.1,4.8,10,6.0,138.0,10,0,0
82,12.2,1.0,1.5,3.8,4.8,1.5,2.1,4.8,12,11.0,44.0,10,0,0
83,86.0,2.5,2.0,3.6,4.2,3.6,2.1,5.6,25,0.0,241.0,19,0,0
84,86.0,2.5,1.9,3.6,4.2,3.6,2.1,5.6,3,0.0,241.0,0,0,0
85,86.0,1.0,2.0,3.6,2.8,3.6,2.1,5.6,25,111.0,209.0,25,0,0
86,86.0,2.5,2.0,3.6,2.8,3.6,2.1,5.6,25,1.0,240.0,25,0,0
87,86.0,1.0,2.0,3.6,4.2,3.5,2.1,5.6,12,17.0,303.0,11,0,0
88,86.0,2.5,2.0,3.6,4.2,3.5,2.1,5.6,12,0.0,241.0,11,0,0
89,86.0,2.5,2.0,3.6,4.2,3.6,4.1,5.6,3,0.0,241.0,1,0,0
90,86.0,2.5,2.0,3.6,4.2,3.6,2.1,2.3,1,0.0,241.0,0,0,0
91,86.0,1.0,1.9,1.8,2.8,3.5,4.1,2.3,25,318.0,2.0,25,0,0
92,57.2,2.5,1.9,3.6,2.8,3.5,4.1,2.3,3,0.0,249.0,0,0,0
93,57.2,1.5,1.9,1.8,4.2,3.5,4.1,2.3,1,181.0,45.0,0,0,0
94,57.2,1.0,1.9,1.8,2.8,3.6,4.1,2.3,25,225.0,1.0,25,0,0
95,79.7,2.0,1.2,2.6,1.2,4.6,1.1,1.9,12,186.0,102.0,0,12,0
96,63.5,2.0,1.6,2.6,1.2,4.6,1.1,1.9,4,150.0,64.0,0,4,0
97,63.5,2.0,1.2,2.8,1.2,4.6,1.1,1.9,3,150.0,64.0,0,3,0
98,63.5,2.0,1.2,2.6,1.8,4.6,1.1,1.9,14,150.0,64.0,0,13,0
99,63.5,2.0,1.2,2.6,1.2,4.5,1.1,1.9,5,150.0,64.0,0,5,0
100,63.5,2.0,1.2,2.6,1.2,4.6,1.1,1.9,2,150.0,64.0,0,2,0
101,63.5,2.0,1.2,2.6,1.2,4.6,1.1,3.5,1,150.0,64.0,0,1,0
102,63.5,1.0,1.6,2.8,1.8,4.5,1.1,3.5,8,237.0,5.0,8,0,0
103,79.7,2.0,1.6,2.8,1.8,4.5,1.1,3.5,4,186.0,102.0,0,4,0
104,34.7,2.0,1.7,4.6,3.2,2.6,3.1,4.4,7,0.0,128.0,0,7,0
105,18.5,2.0,1.1,4.6,3.2,2.6,3.1,4.4,4,0.0,128.0,0,4,0
106,18.5,2.0,1.7,4.8,3.2,2.6,3.1,4.4,1,0.0,128.0,0,1,0
107,18.5,2.0,1.7,4.6,3.2,2.5,3.1,4.4,7,0.0,128.0,0,7,0
108,18.5,2.0,1.7,4.6,3.2,2.6,3.1,4.4,4,0.0,128.0,0,4,0
109,18.5,2.0,1.7,4.6,3.2,2.6,3.1,1.0,1,0.0,128.0,0,1,0
110,34.7,2.0,1.7,4.8,3.8,2.5,3.1,1.0,7,0.0,128.0,0,7,0
111,34.7,2.0,1.1,4.6,3.8,2.5,3.1,1.0,4,0.0,128.0,0,4,0
112,34.7,2.0,1.1,4.8,3.2,2.5,3.1,1.0,1,0.0,128.0,0,1,0
113,34.7,2.0,1.1,4.8,3.8,2.5,3.1,1.0,7,0.0,128.0,0,7,0
114,34.7,2.0,1.1,4.8,3.8,2.5,3.1,4.4,4,0.0,128.0,0,4,0
115,34.7,2.0,1.1,4.8,3.8,2.5,3.1,1.0,1,0.0,128.0,0,1,0
116,15.7,2.0,1.2,1.2,2.8,3.5,2.0,5.8,25,99.0,29.0,0,25,0
117,82.5,2.0,1.2,1.2,2.8,3.5,2.0,5.8,10,258.0,72.0,0,10,0
118,15.7,2.0,1.0,1.2,2.8,3.5,2.0,5.8,2,66.0,14.0,0,2,0
119,15.7,2.0,1.2,2.7,2.8,3.5,2.0,5.8,1,56.0,72.0,0,1,0
120,15.7,2.0,1.2,1.2,4.0,3.5,2.0,5.8,11,92.0,36.0,0,11,0
121,15.7,2.0,1.2,1.2,2.8,1.9,2.0,5.8,5,128.0,0.0,0,5,0
122,15.7,2.0,1.2,1.2,2.8,3.5,2.8,5.8,3,98.0,30.0,0,3,0
123,15.7,2.0,1.2,1.2,2.8,3.5,2.0,2.1,1,98.0,30.0,0,1,0
124,15.7,2.0,1.0,2.7,4.0,1.9,2.8,2.1,25,31.0,49.0,0,25,0
125,82.5,1.5,1.2,2.7,4.0,1.9,2.8,2.1,10,183.0,115.0,0,10,0
126,82.5,2.0,1.2,2.7,4.0,1.9,2.8,2.1,10,106.0,224.0,0,10,0
127,82.5,1.0,1.0,1.2,4.0,1.9,2.8,2.1,2,161.0,0.0,0,2,0
128,82.5,1.5,1.0,1.2,4.0,1.9,2.8,2.1,2,165.0,0.0,0,2,0
129,82.5,2.0,1.0,1.2,4.0,1.9,2.8,2.1,2,194.0,12.0,0,2,0
130,82.5,2.0,1.0,2.7,2.8,1.9,2.8,2.1,1,114.0,92.0,0,1,0
131,82.5,1.0,1.0,2.7,4.0,3.5,2.8,2.1,25,152.0,9.0,0,25,0
132,82.5,1.5,1.0,2.7,4.0,3.5,2.8,2.1,25,78.0,87.0,0,25,0
133,82.5,2.0,1.0,2.7,4.0,3.5,2.8,2.1,25,56.0,150.0,0,25,0
134,82.5,2.0,1.0,2.7,4.0,1.9,2.0,2.1,10,70.0,136.0,0,10,0
135,82.5,1.0,1.0,2.7,4.0,1.9,2.8,5.8,2,153.0,8.0,0,2,0
136,82.5,1.5,1.0,2.7,4.0,1.9,2.8,5.8,2,135.0,30.0,0,2,0
137,82.5,2.0,1.0,2.7,4.0,1.9,2.8,5.8,2,101.0,105.0,0,2,0
138,82.5,1.0,1.0,2.7,4.0,1.9,2.8,2.1,1,153.0,8.0,0,1,0
139,82.5,1.5,1.0,2.7,4.0,1.9,2.8,2.1,1,135.0,30.0,0,1,0
140,82.5,2.0,1.0,2.7,4.0,1.9,2.8,2.1,1,70.0,136.0,0,1,0
141,82.5,2.5,1.0,2.7,4.0,1.9,2.8,2.1,1,62.0,97.0,0,1,0
142,60.7,1.0,1.7,3.2,4.8,1.5,4.0,3.3,25,18.0,208.0,0,25,0
143,60.7,1.5,1.7,3.2,4.8,1.5,4.0,3.3,25,2.0,224.0,0,25,0
144,60.7,2.0,1.7,3.2,4.8,1.5,4.0,3.3,25,1.0,213.0,0,25,0
145,37.5,1.0,1.7,3.2,4.8,1.5,4.0,3.3,10,6.0,138.0,0,10,0
146,37.5,2.0,1.7,3.2,4.8,1.5,4.0,3.3,10,2.0,126.0,0,10,0
147,60.7,2.0,1.5,3.2,4.8,1.5,4.0,3.3,2,1.0,213.0,0,2,0
148,60.7,1.0,1.7,4.7,4.8,1.5,4.0,3.3,1,0.0,226.0,0,1,0
149,60.7,2.0,1.7,4.7,4.8,1.5,4.0,3.3,1,0.0,214.0,0,1,0
150,60.7,2.0,1.7,3.2,2.0,1.5,4.0,3.3,25,75.0,139.0,0,25,0
151,60.7,1.5,1.7,3.2,4.8,3.9,4.0,3.3,10,2.0,224.0,0,10,0
152,60.7,2.0,1.7,3.2,4.8,3.9,4.0,3.3,10,1.0,213.0,0,10,0
153,60.7,2.0,1.7,3.2,4.8,1.5,4.8,3.3,2,1.0,213.0,0,2,0
