,num-cells,cluster-size,max-divisions,num-matrix-diff,cycles-diff-matrix,num-diff-ind,cycles-diff-ind,undiff-num-inhibition,Num Cysts,Num Differentiated,Num Pluripotent,Num Differentiated Cysts,Num Pluripotent Cysts,Num Asymmetric Cysts
176,93.8,1.0,1.2,1.2,8.5,3.4,2.3,5.1,3,327.0,26.0,3,0,0
177,93.8,1.0,1.2,1.2,8.5,3.4,2.3,5.3,1,327.0,26.0,1,0,0
178,27.0,1.0,1.6,2.7,6.5,4.0,1.5,2.6,23,56.0,43.0,23,0,0
179,27.0,1.0,1.6,2.7,7.3,1.4,1.5,2.6,10,77.0,22.0,10,0,0
180,27.0,1.0,1.6,2.7,7.3,4.0,4.3,2.6,3,56.0,43.0,3,0,0
181,27.0,1.0,1.6,2.7,7.3,4.0,1.5,2.8,1,56.0,43.0,1,0,0
182,27.0,1.0,1.7,3.2,6.5,1.4,4.3,2.8,23,9.0,90.0,23,0,0
183,27.0,2.5,1.7,3.2,6.5,1.4,4.3,2.8,23,2.0,146.0,23,0,0
184,48.8,1.0,1.6,3.2,6.5,1.4,4.3,2.8,10,7.0,178.0,10,0,0
185,48.8,1.0,1.7,2.7,6.5,1.4,4.3,2.8,3,144.0,41.0,3,0,0
186,48.8,1.0,1.7,3.2,7.3,1.4,4.3,2.8,1,7.0,178.0,1,0,0
187,48.8,1.0,1.7,3.2,6.5,4.0,4.3,2.8,23,7.0,178.0,23,0,0
188,48.8,1.0,1.7,3.2,6.5,1.4,1.5,2.8,10,7.0,178.0,10,0,0
189,48.8,1.0,1.7,3.2,6.5,1.4,4.3,2.6,3,7.0,178.0,3,0,0
190,48.8,1.0,1.7,3.2,6.5,1.4,4.3,2.8,1,7.0,178.0,1,0,0
191,21.3,1.0,1.4,4.9,6.1,1.2,1.3,3.6,13,0.0,75.0,13,0,0
192,31.9,1.0,1.4,4.9,6.1,1.2,1.3,3.6,4,0.0,119.0,4,0,0
193,31.9,2.5,1.4,4.9,6.1,1.2,1.3,3.6,4,0.0,148.0,4,0,0
194,21.3,1.0,2.0,4.9,6.1,1.2,1.3,3.6,3,0.0,75.0,3,0,0
195,21.3,1.0,1.4,1.9,6.1,1.2,1.3,3.6,1,75.0,0.0,1,0,0
196,21.3,1.0,1.4,4.9,6.2,1.2,1.3,3.6,5,0.0,75.0,5,0,0
197,21.3,1.0,1.4,4.9,6.1,1.6,1.3,3.6,3,0.0,75.0,3,0,0
198,21.3,1.0,1.4,4.9,6.1,1.2,3.0,3.6,3,0.0,75.0,3,0,0
199,21.3,1.0,1.4,4.9,6.1,1.2,1.3,5.0,1,0.0,75.0,1,0,0
200,21.3,1.0,2.0,1.9,6.2,1.6,3.0,5.0,13,75.0,0.0,13,0,0
201,31.9,1.0,1.4,1.9,6.2,1.6,3.0,5.0,4,119.0,0.0,4,0,0
202,31.9,1.0,2.0,4.9,6.2,1.6,3.0,5.0,3,0.0,119.0,3,0,0
203,31.9,1.0,2.0,1.9,6.1,1.6,3.0,5.0,1,119.0,0.0,1,0,0
