,num-cells,cluster-size,max-divisions,num-matrix-diff,cycles-diff-matrix,num-diff-ind,cycles-diff-ind,undiff-num-inhibition,Num Cysts,Num Differentiated,Num Pluripotent,Num Differentiated Cysts,Num Pluripotent Cysts,Num Asymmetric Cysts
0,29.8,1.0,1.1,3.1,3.7,2.1,4.6,1.2,7,10.0,89.0,0,5,2
1,29.8,1.5,1.1,3.1,3.7,2.1,4.6,1.2,7,1.0,140.0,0,5,2
2,29.8,2.0,1.1,3.1,3.7,2.1,4.6,1.2,7,2.0,126.0,0,5,2
3,29.8,2.5,1.1,3.1,3.7,2.1,4.6,1.2,7,2.0,146.0,0,5,2
4,90.9,1.0,1.1,3.1,3.7,2.1,4.6,1.2,3,9.0,344.0,0,3,0
5,90.9,1.5,1.1,3.1,3.7,2.1,4.6,1.2,3,1.0,362.0,0,3,0
6,90.9,2.0,1.1,3.1,3.7,2.1,4.6,1.2,3,0.0,330.0,0,3,0
7,90.9,2.5,1.1,3.1,3.7,2.1,4.6,1.2,3,1.0,240.0,0,3,0
8,29.8,1.0,1.5,3.1,3.7,2.1,4.6,1.2,1,10.0,89.0,0,1,0
9,29.8,1.5,1.5,3.1,3.7,2.1,4.6,1.2,1,1.0,140.0,0,1,0
10,29.8,2.0,1.5,3.1,3.7,2.1,4.6,1.2,1,2.0,126.0,0,1,0
11,29.8,2.5,1.5,3.1,3.7,2.1,4.6,1.2,1,2.0,146.0,0,1,0
12,29.8,1.0,1.1,1.3,3.7,2.1,4.6,1.2,1,99.0,0.0,0,1,0
13,29.8,1.5,1.1,1.3,3.7,2.1,4.6,1.2,1,120.0,21.0,0,1,0
14,29.8,2.0,1.1,1.3,3.7,2.1,4.6,1.2,1,95.0,33.0,0,1,0
15,29.8,2.5,1.1,1.3,3.7,2.1,4.6,1.2,1,104.0,44.0,0,1,0
16,29.8,1.0,1.1,3.1,1.3,2.1,4.6,1.2,21,80.0,19.0,0,21,0
17,29.8,1.5,1.1,3.1,1.3,2.1,4.6,1.2,21,14.0,127.0,0,21,0
18,29.8,2.0,1.1,3.1,1.3,2.1,4.6,1.2,21,20.0,108.0,0,21,0
19,29.8,2.5,1.1,3.1,1.3,2.1,4.6,1.2,21,13.0,135.0,0,21,0
20,29.8,1.0,1.1,3.1,3.7,2.0,4.6,1.2,12,10.0,89.0,0,12,0
21,29.8,1.5,1.1,3.1,3.7,2.0,4.6,1.2,12,1.0,140.0,0,12,0
22,29.8,2.0,1.1,3.1,3.7,2.0,4.6,1.2,12,2.0,126.0,0,12,0
23,29.8,2.5,1.1,3.1,3.7,2.0,4.6,1.2,12,2.0,146.0,0,12,0
24,29.8,1.0,1.1,3.1,3.7,2.1,1.6,1.2,2,10.0,89.0,0,2,0
25,29.8,1.5,1.1,3.1,3.7,2.1,1.6,1.2,2,1.0,140.0,0,2,0
26,29.8,2.0,1.1,3.1,3.7,2.1,1.6,1.2,2,2.0,126.0,0,2,0
27,29.8,2.5,1.1,3.1,3.7,2.1,1.6,1.2,2,2.0,146.0,0,2,0
28,29.8,1.0,1.1,3.1,3.7,2.1,4.6,2.9,1,10.0,89.0,0,1,0
29,29.8,1.5,1.1,3.1,3.7,2.1,4.6,2.9,1,1.0,140.0,0,1,0
30,29.8,2.0,1.1,3.1,3.7,2.1,4.6,2.9,1,2.0,126.0,0,1,0
31,29.8,2.5,1.1,3.1,3.7,2.1,4.6,2.9,1,2.0,146.0,0,1,0
32,29.8,1.0,1.5,1.3,1.3,2.0,1.6,2.9,7,99.0,0.0,0,5,2
33,29.8,1.5,1.5,1.3,1.3,2.0,1.6,2.9,7,141.0,0.0,0,5,2
34,29.8,2.0,1.5,1.3,1.3,2.0,1.6,2.9,7,124.0,4.0,0,5,2
35,29.8,2.5,1.5,1.3,1.3,2.0,1.6,2.9,7,132.0,16.0,0,5,2
36,90.9,1.0,1.1,1.3,1.3,2.0,1.6,2.9,3,353.0,0.0,0,3,0
37,90.9,1.5,1.1,1.3,1.3,2.0,1.6,2.9,3,360.0,3.0,0,3,0
38,90.9,2.0,1.1,1.3,1.3,2.0,1.6,2.9,3,327.0,3.0,0,3,0
39,90.9,2.5,1.1,1.3,1.3,2.0,1.6,2.9,3,235.0,6.0,0,3,0
40,90.9,1.0,1.5,3.1,1.3,2.0,1.6,2.9,1,275.0,78.0,0,1,0
41,90.9,1.5,1.5,3.1,1.3,2.0,1.6,2.9,1,50.0,313.0,0,1,0
42,90.9,2.0,1.5,3.1,1.3,2.0,1.6,2.9,1,64.0,266.0,0,1,0
43,90.9,1.0,1.5,1.3,3.7,2.0,1.6,2.9,1,353.0,0.0,0,1,0
44,90.9,1.5,1.5,1.3,3.7,2.0,1.6,2.9,1,348.0,15.0,0,1,0
45,90.9,2.0,1.5,1.3,3.7,2.0,1.6,2.9,1,292.0,38.0,0,1,0
46,90.9,2.5,1.5,1.3,3.7,2.0,1.6,2.9,1,209.0,32.0,0,1,0
47,90.9,1.0,1.5,1.3,1.3,2.1,1.6,2.9,10,353.0,0.0,10,0,0
48,90.9,1.5,1.5,1.3,1.3,2.1,1.6,2.9,10,360.0,3.0,10,0,0
49,90.9,2.0,1.5,1.3,1.3,2.1,1.6,2.9,10,319.0,11.0,10,0,0
50,90.9,2.5,1.5,1.3,1.3,2.1,1.6,2.9,10,228.0,13.0,10,0,0
51,90.9,1.0,1.5,1.3,1.3,2.0,4.6,2.9,4,353.0,0.0,0,0,0
52,90.9,1.5,1.5,1.3,1.3,2.0,4.6,2.9,4,360.0,3.0,0,0,0
53,90.9,2.0,1.5,1.3,1.3,2.0,4.6,2.9,4,322.0,8.0,0,0,0
54,90.9,2.5,1.5,1.3,1.3,2.0,4.6,2.9,4,232.0,9.0,0,0,0
55,90.9,1.0,1.5,1.3,1.3,2.0,1.6,1.2,3,353.0,0.0,0,0,0
56,90.9,1.5,1.5,1.3,1.3,2.0,1.6,1.2,3,356.0,7.0,0,0,0
57,90.9,2.0,1.5,1.3,1.3,2.0,1.6,1.2,3,312.0,18.0,0,0,0
58,90.9,2.5,1.5,1.3,1.3,2.0,1.6,1.2,3,226.0,15.0,0,0,0
59,90.9,1.0,1.5,1.3,1.3,2.0,1.6,2.9,1,353.0,0.0,0,0,0
60,90.9,1.5,1.5,1.3,1.3,2.0,1.6,2.9,1,360.0,3.0,0,0,0
