,0,1,2,3,4,5,6
0,21973.4,6.0,3.6,13.9,2.4,18.2,1.2
1,89941.5,6.0,3.6,13.9,2.4,18.2,1.2
2,21973.4,10.0,3.6,13.9,2.4,18.2,1.2
3,21973.4,6.0,1.3,13.9,2.4,18.2,1.2
4,21973.4,6.0,3.6,2.6,2.4,18.2,1.2
5,21973.4,6.0,3.6,13.9,2.3,18.2,1.2
6,21973.4,6.0,3.6,13.9,2.4,4.1,1.2
7,21973.4,6.0,3.6,13.9,2.4,18.2,2.9
8,21973.4,10.0,1.3,2.6,2.3,4.1,2.9
9,89941.5,6.0,1.3,2.6,2.3,4.1,2.9
10,89941.5,10.0,3.6,2.6,2.3,4.1,2.9
11,89941.5,10.0,1.3,13.9,2.3,4.1,2.9
12,89941.5,10.0,1.3,2.6,2.4,4.1,2.9
13,89941.5,10.0,1.3,2.6,2.3,18.2,2.9
14,89941.5,10.0,1.3,2.6,2.3,4.1,1.2
15,89941.5,10.0,1.3,2.6,2.3,4.1,2.9
16,71972.9,11.0,1.1,4.4,4.9,8.7,3.7
17,39942.0,11.0,1.1,4.4,4.9,8.7,3.7
18,71972.9,5.0,1.1,4.4,4.9,8.7,3.7
19,71972.9,11.0,3.8,4.4,4.9,8.7,3.7
20,71972.9,11.0,1.1,12.1,4.9,8.7,3.7
21,71972.9,11.0,1.1,4.4,4.8,8.7,3.7
22,71972.9,11.0,1.1,4.4,4.9,13.6,3.7
23,71972.9,11.0,1.1,4.4,4.9,8.7,5.4
24,71972.9,5.0,3.8,12.1,4.8,13.6,5.4
25,39942.0,11.0,3.8,12.1,4.8,13.6,5.4
26,39942.0,5.0,1.1,12.1,4.8,13.6,5.4
27,39942.0,5.0,3.8,4.4,4.8,13.6,5.4
28,39942.0,5.0,3.8,12.1,4.9,13.6,5.4
29,39942.0,5.0,3.8,12.1,4.8,8.7,5.4
30,39942.0,5.0,3.8,12.1,4.8,13.6,3.7
31,39942.0,5.0,3.8,12.1,4.8,13.6,5.4
32,96972.7,8.5,4.8,18.6,3.7,4.0,2.5
33,14942.3,8.5,4.8,18.6,3.7,4.0,2.5
34,96972.7,7.5,4.8,18.6,3.7,4.0,2.5
35,96972.7,8.5,5.1,18.6,3.7,4.0,2.5
36,96972.7,8.5,4.8,16.9,3.7,4.0,2.5
37,96972.7,8.5,4.8,18.6,3.5,4.0,2.5
38,96972.7,8.5,4.8,18.6,3.7,8.8,2.5
39,96972.7,8.5,4.8,18.6,3.7,4.0,1.7
40,96972.7,7.5,5.1,16.9,3.5,8.8,1.7
41,14942.3,8.5,5.1,16.9,3.5,8.8,1.7
42,14942.3,7.5,4.8,16.9,3.5,8.8,1.7
43,14942.3,7.5,5.1,18.6,3.5,8.8,1.7
44,14942.3,7.5,5.1,16.9,3.7,8.8,1.7
45,14942.3,7.5,5.1,16.9,3.5,4.0,1.7
46,14942.3,7.5,5.1,16.9,3.5,8.8,2.5
47,14942.3,7.5,5.1,16.9,3.5,8.8,1.7
48,46973.2,13.5,2.3,9.1,1.2,13.5,5.0
49,64941.8,13.5,2.3,9.1,1.2,13.5,5.0
50,46973.2,12.5,2.3,9.1,1.2,13.5,5.0
51,46973.2,13.5,2.6,9.1,1.2,13.5,5.0
52,46973.2,13.5,2.3,7.4,1.2,13.5,5.0
53,46973.2,13.5,2.3,9.1,1.0,13.5,5.0
54,46973.2,13.5,2.3,9.1,1.2,18.3,5.0
55,46973.2,13.5,2.3,9.1,1.2,13.5,4.2
56,46973.2,12.5,2.6,7.4,1.0,18.3,4.2
57,64941.8,13.5,2.6,7.4,1.0,18.3,4.2
58,64941.8,12.5,2.3,7.4,1.0,18.3,4.2
59,64941.8,12.5,2.6,9.1,1.0,18.3,4.2
60,64941.8,12.5,2.6,7.4,1.2,18.3,4.2
61,64941.8,12.5,2.6,7.4,1.0,13.5,4.2
62,64941.8,12.5,2.6,7.4,1.0,18.3,5.0
63,64941.8,12.5,2.6,7.4,1.0,18.3,4.2
64,34473.3,9.7,1.7,6.7,1.8,15.9,3.1
65,2442.4,9.7,1.7,6.7,1.8,15.9,3.1
66,34473.3,8.8,1.7,6.7,1.8,15.9,3.1
67,34473.3,9.7,4.5,6.7,1.8,15.9,3.1
68,34473.3,9.7,1.7,19.2,1.8,15.9,3.1
69,34473.3,9.7,1.7,6.7,1.6,15.9,3.1
70,34473.3,9.7,1.7,6.7,1.8,6.4,3.1
71,34473.3,9.7,1.7,6.7,1.8,15.9,4.8
72,34473.3,8.8,4.5,19.2,1.6,6.4,4.8
73,2442.4,9.7,4.5,19.2,1.6,6.4,4.8
74,2442.4,8.8,1.7,19.2,1.6,6.4,4.8
75,2442.4,8.8,4.5,6.7,1.6,6.4,4.8
76,2442.4,8.8,4.5,19.2,1.8,6.4,4.8
77,2442.4,8.8,4.5,19.2,1.6,15.9,4.8
78,2442.4,8.8,4.5,19.2,1.6,6.4,3.1
79,2442.4,8.8,4.5,19.2,1.6,6.4,4.8
